Réservation au nom de ;Domaines ;Ressource  ;Description ;Heure - Durée ;Type;Dernière mise à jour
mono2;Enregistreur Numerique;Tascam mini n°8;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s) ;Emprunt ;lundi 11 octobre 202113:58:12
mono2;Enregistreur Numerique;Tascam mini n°9;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s) ;Emprunt ;lundi 11 octobre 202113:58:18
mono2;Enregistreur Numerique;Tascam mini n°11;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s) ;Emprunt ;lundi 11 octobre 202113:58:25
mono2;Enregistreur Numerique;Tascam mini  n°12;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s) ;Emprunt ;lundi 11 octobre 202113:58:38
mono2;Camescope;Camescope HD n°1;Panasonic HC-VXF1;mardi 12 octobre 2021 13:00:00 - 4 heure(s) ;Emprunt ;lundi 11 octobre 202114:01:16
mono3;Enregistreur Numerique;Tascam mini n°3;DR-05;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s) ;Emprunt ;mardi 05 octobre 202115:17:57
mono3;Enregistreur Numerique;Tascam mini n°4 ;DR-05;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s) ;Emprunt ;mardi 05 octobre 202115:17:57
mono3;Enregistreur Numerique;Tascam mini n°6;DR-05;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s) ;Emprunt ;lundi 11 octobre 202111:51:29
mono3;Camescope;Camescope HD n°2;Panasonic HC-VXF1;lundi 11 octobre 2021 14:00:00 - 1 jour(s), 21 heure(s) et 30 minute(s) ;Emprunt ;lundi 11 octobre 202111:52:02
mono3;Enceinte;RONDSON n°2;;mercredi 13 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mardi 12 octobre 202109:38:34
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 14 octobre 2021 10:00:00 - 2 heure(s) ;Maintenance;jeudi 07 octobre 202110:17:27
mono3;Enceinte;RONDSON n°2;;jeudi 14 octobre 2021 08:00:00 - 4 heure(s) ;Emprunt ;mardi 12 octobre 202109:38:40
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:46:41
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:46:48
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:46:53
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:46:58
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;jeudi 14 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:47:04
mono17;NOUVEAUX PC COURTE DUREE;PC B CD n°11;Dell Latitude 3410;jeudi 14 octobre 2021 16:20:00 - 2 heure(s) ;Cours;jeudi 14 octobre 202116:24:45
mono17;NOUVEAUX PC COURTE DUREE;PC B CD n°7;Dell Latitude 3410;jeudi 14 octobre 2021 16:20:00 - 2 heure(s) ;Cours;jeudi 14 octobre 202116:26:00
mono11;Videoprojecteur;VP 02;Epson EB-W29;vendredi 08 octobre 2021 14:30:00 - 1 semaine(s) ;Emprunt ;vendredi 08 octobre 202114:27:55
mono7;Enregistreur Numerique;Tascam mini n°2 ;DR-05 -  Sans câble USB;vendredi 08 octobre 2021 14:30:00 - 1 semaine(s) ;Emprunt ;lundi 18 octobre 202110:37:11
mono12;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;mardi 12 octobre 2021 09:30:00 - 3 jour(s), 5 heure(s) et 30 minute(s) ;Emprunt ;mardi 12 octobre 202109:39:38
mono12;Micro filaire;Micro n°1;;mardi 12 octobre 2021 09:30:00 - 3 jour(s), 5 heure(s) et 30 minute(s) ;Emprunt ;mardi 12 octobre 202109:43:01
mono12;Tablettes Ipad - Longue Durée;Ipad n°2;Pas de clavier;vendredi 15 octobre 2021 14:00:00 - 3 heure(s) ;Emprunt ;vendredi 15 octobre 202110:55:40
mono17;Videoprojecteur;VP 01 ;Epson EBW29;lundi 18 octobre 2021 08:00:00 - 4 heure(s) ;Cours;lundi 18 octobre 202108:04:44
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mardi 19 octobre 2021 08:00:00 - 6 heure(s) ;Cours;mardi 05 octobre 202108:10:51
mono18;Retroprojecteur;Rétroprojecteur n°3;;mardi 05 octobre 2021 13:30:00 - 2 semaine(s), 1 heure(s) et 30 minute(s) ;Cours;jeudi 14 octobre 202112:43:35
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°10;Dell Latitude 3410;mardi 12 octobre 2021 12:00:00 - 1 semaine(s), 4 heure(s) et 30 minute(s) ;Emprunt ;mardi 12 octobre 202111:34:49
mono8;Camescope;Camescope HD n°1;Panasonic HC-VXF1;mardi 19 octobre 2021 16:00:00 - 2 heure(s) ;Emprunt ;mardi 12 octobre 202118:02:58
mono10;NOUVEAUX PC LONGUE DUREE;PC B LD n°11;Dell Latitude 3410;mardi 28 septembre 2021 08:00:00 - 3 semaine(s), 1 jour(s) et 2 heure(s) ;Emprunt ;mercredi 20 octobre 202110:01:50
